epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,learning_rate,duration_sec
1,0.6432825217644373,0.5171411628524463,0.3898791164159775,0.8130518112863813,0.3520320398466928,0.24111062501158034,0.0001,13.790705442428589
2,0.5315250267585119,0.7202036380767822,0.59653460085392,0.4778425395488739,0.7774631381034851,0.6615592752184186,0.0001,11.763978004455566
3,0.5007521728674571,0.7767326513926188,0.6627187629540762,0.44772050636155264,0.8512001378195626,0.7582414490836007,0.0001,11.651857137680054
4,0.47940855026245116,0.8060888806978862,0.6984205623467763,0.45019632152148653,0.8236452000481742,0.7219353573662894,0.0001,11.451444149017334
5,0.4619997789462407,0.8265282094478608,0.7257308483123779,0.4223450720310211,0.8406261290822711,0.7447754655565534,0.0001,11.523458242416382
6,0.4509592652320862,0.8232949574788412,0.7258127868175507,0.397891104221344,0.8601158942495074,0.76937278679439,0.0001,11.997451543807983
7,0.4416356166203817,0.8286690811316172,0.7315767566363017,0.3900182247161865,0.8342615110533578,0.7354174171175275,0.0001,11.849968194961548
8,0.43277614812056225,0.8309736688931783,0.7338013390700022,0.4037043196814401,0.8673419441495623,0.7842753188950675,0.0001,12.136823892593384
9,0.42529459595680236,0.8230623861153921,0.7232727527618408,0.40847164392471313,0.8286564775875637,0.7287687488964626,0.0001,12.229423999786377
10,0.4161312570174535,0.832203084230423,0.7378229220708211,0.3665707153933389,0.8578154444694519,0.7709221243858337,0.0001,12.545915603637695
11,0.4044183959563573,0.836499959230423,0.7432359615961711,0.35587326117924284,0.8374552045549665,0.7468436104910714,0.0001,12.703572511672974
12,0.3953985373179118,0.8586206436157227,0.7698368708292643,0.36359101108142305,0.8601129991667611,0.7719162787709918,0.0001,12.82619833946228
13,0.3807963649431864,0.8612705111503601,0.7768883963425954,0.3438384873526437,0.8772887672696795,0.7992017183985028,0.0001,12.729081869125366
14,0.37128647764523826,0.8628393252690633,0.7738295873006185,0.3354434498718807,0.8740679110799517,0.7876395498003278,0.0001,12.397846698760986
15,0.3634236643711726,0.8698994656403859,0.7855575462182363,0.32184623394693646,0.8860620771135602,0.8056604521615165,0.0001,12.434416770935059
16,0.3583309402068456,0.8650524735450744,0.7814265628655751,0.35409967814173016,0.8940465109688895,0.8181107980864388,0.0001,12.389838218688965
17,0.3493972510099411,0.8684486707051595,0.783893088499705,0.32552988614354816,0.8907341275896344,0.8116275497845241,0.0001,12.457474708557129
18,0.3401610275109609,0.8748355706532797,0.7905431906382243,0.3134150505065918,0.880172780581883,0.7985209482056754,0.0001,12.63796067237854
19,0.3417091339826584,0.8634140173594157,0.7790442148844401,0.30310217823301044,0.8789011240005493,0.8030376178877694,0.0001,12.552213191986084
20,0.33146485884984334,0.8707529862721761,0.7908043563365936,0.2941531411239079,0.8613541296550206,0.7741628970418658,0.0001,12.625491380691528
21,0.3260571449995041,0.8669465581576029,0.7842733144760132,0.30547490290233065,0.8845346229416984,0.8043448839868818,5e-05,12.48854374885559
22,0.3137660677234332,0.8772743284702301,0.7991353531678518,0.2845631944281714,0.8895784616470337,0.8097121545246669,5e-05,12.416369438171387
23,0.3087040146191915,0.8833702365557353,0.8023221413294475,0.28132005461624693,0.8982010313442775,0.8248531137193952,5e-05,12.614885807037354
24,0.30421872635682423,0.8854103167851766,0.8081692695617676,0.2862182472433363,0.8959095307758876,0.8208902307919094,5e-05,12.525071144104004
25,0.2990392843882243,0.8883902072906494,0.8115041613578796,0.27822411911828177,0.8915535637310573,0.8133406213351658,5e-05,12.419767141342163
26,0.29360291610161465,0.8907937606175741,0.8146292567253113,0.28582010098866056,0.883277816431863,0.8012751681464059,5e-05,12.51995325088501
27,0.3010041519999504,0.8764509777228038,0.8008049766222636,0.2984628677368164,0.8748405150004795,0.7896307791982379,5e-05,12.653305768966675
28,0.28961734622716906,0.8932109673817953,0.8189534723758698,0.26325939169951845,0.9007524422236851,0.8274949533598763,5e-05,12.741732358932495
29,0.2892573038736979,0.8835870901743571,0.804681412378947,0.26377065054007937,0.8911101647785732,0.8136820793151855,5e-05,12.599207639694214
30,0.2808444365859032,0.889246016740799,0.8131386439005533,0.2560852404151644,0.8990593722888401,0.8242096049445016,5e-05,12.573090076446533
31,0.2803697625796,0.8874054431915284,0.8103802084922791,0.26665619228567394,0.8984788145337786,0.8237843343189785,5e-05,12.655033111572266
32,0.274939039349556,0.8862150251865387,0.8090934137503306,0.24428113443510874,0.906452340739114,0.8370080164500645,5e-05,12.77422022819519
33,0.27572167813777926,0.8887341062227885,0.8136451045672098,0.24704467611653463,0.9036944678851536,0.8327680230140686,5e-05,12.672044038772583
34,0.2651026800274849,0.895308134953181,0.8221173822879791,0.24785299599170685,0.8889363408088684,0.8098425694874355,5e-05,12.561880588531494
35,0.2680237963795662,0.8921514173348745,0.8178821762402853,0.2582931624991553,0.8841280511447361,0.8036338261195591,5e-05,12.611783981323242
36,0.25900630553563436,0.8966262757778167,0.8239941835403443,0.24546095516000474,0.9023034146853856,0.8291129469871521,5e-05,12.568124771118164
37,0.2619555582602819,0.8864808360735575,0.8127658983071645,0.25678188460213797,0.8872212767601013,0.8096496633120945,2.5e-05,12.736650228500366
38,0.2590828910470009,0.8867865244547526,0.8113420506318411,0.2513070021356855,0.8939562099320548,0.8180111816951207,2.5e-05,12.614450693130493
39,0.25201069911321006,0.9022596796353658,0.8325728098551433,0.2397047792162214,0.89657176392419,0.820825355393546,2.5e-05,12.61600923538208
40,0.24388796041409175,0.9028274257977803,0.8322509447733561,0.230651033776147,0.9033007451466152,0.8318451728139605,2.5e-05,12.490725040435791
41,0.2486702342828115,0.8980041523774465,0.8250779211521149,0.23690611549786159,0.8970315115792411,0.8218934535980225,2.5e-05,12.571017503738403
42,0.24229656010866166,0.9008704245090484,0.8304522097110748,0.22907528281211853,0.9008535827909198,0.8273341655731201,1.25e-05,12.565964698791504
43,0.24123418231805166,0.8998017887274424,0.8284981489181519,0.23080743210656302,0.8963402169091361,0.8217056563922337,1.25e-05,12.58802580833435
44,0.2401295433441798,0.9048078000545502,0.8340136647224426,0.22483962774276733,0.906785420009068,0.8370172125952584,1.25e-05,12.567431449890137
45,0.239604086180528,0.9040352861086528,0.8344518721103669,0.23508608554090774,0.8981656687600272,0.8237872634615216,1.25e-05,12.593982934951782
46,0.23739953935146332,0.8993341088294983,0.8311018665631612,0.22919236336435592,0.8985558152198792,0.8241769926888602,1.25e-05,12.559795379638672
47,0.2371823047598203,0.9033479869365693,0.8332862854003906,0.22926082142761775,0.8966284990310669,0.8211122751235962,1.25e-05,12.648705244064331
48,0.235440456867218,0.9033602416515351,0.8337776561578115,0.23129131964274816,0.9018715705190387,0.8296237502779279,1.25e-05,12.616462469100952
49,0.23526586592197418,0.9056887626647949,0.8362407565116883,0.22981946170330048,0.9071942056928363,0.8371385506221226,1.25e-05,12.745853662490845
50,0.23482274065415065,0.9057259142398835,0.8366366068522135,0.23031750321388245,0.8993774226733616,0.8251740762165615,1.25e-05,12.590977907180786
